MJD           m       dm    uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57321.654310  13.183  0.049 19357  958 o  0   1.33 123.84708 -38.98981  6398.46  8181.73 4.64 3.51 -84.6 -0.620 16.76 16.70 02a57321o0687o
57329.633320  13.230  0.004 18532   73 o  0  25.60 123.84708 -38.98981  6445.47  8205.02 4.27 3.23 -84.7 -0.508 18.09 19.30 02a57329o0655o
57368.521206  13.250  0.003 18197   57 o  0  19.97 123.84708 -38.98981  6187.63  8502.25 3.97 3.60  88.6 -0.441 18.84 20.45 02a57368o0529o
57368.526732  13.254  0.003 18122   57 o  0  17.84 123.84708 -38.98981  5916.46  7916.99 3.90 3.50 -89.1 -0.447 18.86 20.46 02a57368o0537o
57368.556648  13.197  0.003 19103   66 o  0  34.90 123.84708 -38.98981  4167.36  1359.11 4.49 3.48 -13.3 -0.516 18.94 20.46 02a57368o0582o
57368.564195  13.259  0.003 18050   57 o  0  63.15 123.84708 -38.98981  3880.50  3104.03 4.01 3.46 -25.9 -0.471 18.94 20.43 02a57368o0593o
57369.507055  13.236  0.003 18425   56 o  0  49.76 123.84708 -38.98981  6189.80  8501.10 3.71 3.24 -88.6 -0.484 18.96 20.56 02a57369o0324o
57369.533200  13.250  0.003 18195   56 o  0  38.28 123.84708 -38.98981  5914.11  7914.72 3.74 3.29  90.0 -0.473 18.96 20.58 02a57369o0364o
57369.547496  13.247  0.003 18251   59 o  0  30.20 123.84708 -38.98981  6750.41  9089.80 3.61 3.50  19.9 -0.472 19.01 20.68 02a57369o0385o
57369.569991  13.263  0.003 17981   55 o  0  54.85 123.84708 -38.98981  3881.41  3104.80 4.14 3.60 -21.9 -0.459 19.05 20.72 02a57369o0415o
57380.479659  13.291  0.007 17524  114 o  0   3.11 123.84708 -38.98981  6160.77  8506.62 4.22 3.70 -88.4 -0.449 18.01 18.91 02a57380o0408o
