ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
123.8470758,-38.9898640,08h15m23.30s,-38d59m23.51s,0.0370,0.0409,-0.0087,11.236,0.019,55.9,22.230,10.449,0.020,53.9,20.250,1,0,0000,AA,10,58593.74109576,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.194755,183.459511
123.8469618,-38.9898445,08h15m23.27s,-38d59m23.44s,0.0466,0.0404,0.0027,11.334,0.020,53.6,15.420,11.043,0.030,36.1,3.276,1,0,0000,AA,5,58227.64203649,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.353289,249.417649
123.8469547,-38.9898618,08h15m23.27s,-38d59m23.50s,0.0370,0.0395,-0.0072,11.241,0.019,57.4,15.200,10.948,0.023,47.5,3.349,1,0,0000,AA,0,58801.02847317,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.397111,241.992339
123.8469391,-38.9898479,08h15m23.27s,-38d59m23.45s,0.0376,0.0418,-0.0088,11.224,0.018,58.7,13.720,10.930,0.023,46.4,3.344,1,0,0000,AA,5,58800.57056616,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.417193,250.910784
123.8469325,-38.9898302,08h15m23.26s,-38d59m23.39s,0.0384,0.0370,-0.0089,11.239,0.019,56.0,12.930,10.916,0.023,46.9,3.377,1,0,0000,AA,5,58800.50524178,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.41908,260.007272
123.8469426,-38.9898564,08h15m23.27s,-38d59m23.48s,0.0365,0.0368,0.0043,11.226,0.019,57.4,12.710,10.894,0.022,48.8,3.699,1,0,0000,AA,5,58436.76748992,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.419181,246.516145
123.8469303,-38.9898186,08h15m23.26s,-38d59m23.35s,0.0387,0.0418,-0.0112,11.233,0.020,53.0,12.480,10.941,0.023,47.9,3.789,1,0,0000,AA,10,58593.93732355,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.420025,265.772827
123.8469321,-38.9898533,08h15m23.26s,-38d59m23.47s,0.0395,0.0453,-0.0132,11.236,0.020,54.5,16.150,10.902,0.023,47.0,3.608,1,0,0000,AA,5,58800.04720753,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.442223,249.360342
123.8469307,-38.9898532,08h15m23.26s,-38d59m23.47s,0.0386,0.0352,-0.0115,11.224,0.018,61.9,15.690,10.883,0.023,48.2,3.190,1,0,0000,AA,10,58436.24400282,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.445765,249.581125
123.8469330,-38.9898579,08h15m23.26s,-38d59m23.49s,0.0353,0.0408,0.0031,11.329,0.018,60.7,14.300,11.216,0.023,46.2,3.655,1,0,0000,AA,5,59322.22323155,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.446009,247.255021
123.8469200,-38.9898229,08h15m23.26s,-38d59m23.36s,0.0409,0.0414,0.0072,11.189,0.022,49.1,5.908,10.897,0.025,43.4,1.651,1,0,0000,AA,5,58801.15937646,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.450099,264.077835
123.8469244,-38.9898451,08h15m23.26s,-38d59m23.44s,0.0373,0.0408,-0.0138,11.206,0.019,57.9,9.081,10.923,0.024,45.4,2.845,1,0,0000,AA,5,58800.83224551,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.453351,253.815983
123.8469171,-38.9898164,08h15m23.26s,-38d59m23.34s,0.0357,0.0375,0.0074,11.191,0.019,56.5,7.943,10.927,0.023,46.6,2.587,1,0,0000,AA,5,58800.70146944,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.456394,267.106292
123.8469311,-38.9898622,08h15m23.26s,-38d59m23.50s,0.0364,0.0409,-0.0156,11.198,0.018,61.8,9.047,10.890,0.022,50.3,1.610,1,0,0000,AA,10,58800.37433844,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.457056,245.722883
123.8469295,-38.9898625,08h15m23.26s,-38d59m23.51s,0.0394,0.0372,-0.0058,11.240,0.019,58.4,9.157,10.927,0.024,45.8,2.294,1,0,0000,AA,5,58594.13367875,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.461591,245.829164
123.8469268,-38.9898614,08h15m23.26s,-38d59m23.50s,0.0387,0.0385,-0.0073,11.244,0.019,58.6,14.510,10.914,0.023,47.9,2.909,1,0,0000,AA,5,58801.29015243,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.466902,246.652143
123.8469196,-38.9898484,08h15m23.26s,-38d59m23.45s,0.0370,0.0402,-0.0112,11.227,0.018,61.5,15.150,10.904,0.023,47.6,3.037,1,0,0000,AA,5,58436.50517363,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.469625,252.880704
123.8469177,-38.9898445,08h15m23.26s,-38d59m23.44s,0.0377,0.0420,-0.0111,11.330,0.020,54.8,5.872,11.156,0.022,48.9,2.562,1,0,0000,AA,10,59322.02713115,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.470811,254.704361
123.8469223,-38.9898556,08h15m23.26s,-38d59m23.48s,0.0391,0.0450,0.0094,11.349,0.019,56.5,20.320,11.115,0.030,36.7,2.820,1,0,0000,AA,5,59167.59006233,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.470811,249.593662
123.8469128,-38.9898322,08h15m23.26s,-38d59m23.40s,0.0391,0.0394,-0.0104,11.238,0.019,58.0,10.830,10.873,0.021,52.9,1.987,1,0,0000,AA,5,58435.78584067,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.474628,260.305962
123.8469092,-38.9898155,08h15m23.26s,-38d59m23.34s,0.0402,0.0400,-0.0155,11.308,0.019,58.2,16.210,10.984,0.024,45.7,6.269,1,0,0000,AA,5,58594.85326617,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.478335,267.627567
123.8469091,-38.9897952,08h15m23.26s,-38d59m23.26s,0.0434,0.0452,-0.0124,11.310,0.023,46.5,8.135,11.088,0.025,43.2,4.158,1,0,0000,AA,5,59168.11329372,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.481161,276.357494
123.8469351,-38.9897376,08h15m23.26s,-38d59m23.06s,0.0469,0.0469,0.0040,11.513,0.024,45.5,19.360,11.111,0.029,37.2,2.267,1,0,0000,AA,10,59531.41311275,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.481995,302.734602
123.8469083,-38.9898222,08h15m23.26s,-38d59m23.36s,0.0463,0.0500,0.0143,11.609,0.023,47.9,13.700,11.703,0.029,37.2,2.476,1,0,0000,AA,10,57340.94587990,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.482445,264.776686
123.8469269,-38.9898750,08h15m23.26s,-38d59m23.55s,0.0354,0.0412,-0.0053,11.249,0.019,57.9,6.813,10.939,0.021,52.8,2.169,1,0,0000,AA,5,58958.80153931,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.488139,241.355389
