W1Mag,W1Err,W2Mag,W2Err,MJD
11.62,0.02,11.74,0.03,56784.1751
11.64,0.02,11.66,0.04,56787.663
11.64,0.02,11.76,0.04,56787.79467
11.71,0.02,11.74,0.03,56787.86038
11.61,0.02,11.73,0.03,56787.86051
11.71,0.02,11.84,0.03,56787.92621
11.63,0.02,11.73,0.03,56787.99205
11.65,0.02,11.66,0.03,56788.05788
11.63,0.02,11.70,0.03,56788.18955
11.66,0.02,11.74,0.03,56788.25525
11.65,0.02,11.70,0.03,56788.32109
11.65,0.02,11.73,0.03,56788.38692
11.65,0.02,11.69,0.03,56788.51859
11.64,0.02,11.74,0.03,56788.58429
11.68,0.02,11.64,0.04,56788.65013
11.65,0.02,11.72,0.04,56788.71596
11.68,0.02,11.73,0.03,56788.7818
11.61,0.02,11.72,0.03,56788.91334
11.64,0.02,11.64,0.03,56789.045
11.62,0.02,11.71,0.03,56975.18644
11.63,0.02,11.78,0.03,56975.25215
11.69,0.02,11.76,0.03,56978.40772
11.64,0.02,11.72,0.03,56978.53926
11.70,0.02,11.73,0.03,56978.67067
11.66,0.02,11.71,0.03,56978.7365
11.69,0.02,11.63,0.04,56978.80221
11.65,0.02,11.68,0.03,56978.86792
11.71,0.02,11.80,0.03,56978.93362
11.63,0.02,11.69,0.03,56978.99946
11.68,0.02,11.65,0.03,56979.06516
11.66,0.02,11.77,0.04,56979.13087
11.68,0.02,11.78,0.04,56979.19658
11.62,0.02,11.70,0.03,56979.1967
11.66,0.02,11.78,0.03,56979.26241
11.65,0.02,12.40,0.05,56979.32812
11.63,0.02,11.82,0.03,56979.39382
11.60,0.02,11.64,0.03,56979.45966
11.65,0.02,11.73,0.03,56979.52536
11.63,0.02,11.71,0.03,56979.65678
11.65,0.02,11.76,0.05,56979.78832
11.64,0.02,11.74,0.03,56979.91973
11.65,0.02,11.83,0.04,57146.57827
11.62,0.02,11.70,0.03,57146.70942
11.60,0.02,11.71,0.03,57146.70955
11.69,0.02,11.72,0.03,57146.77513
11.66,0.02,11.75,0.03,57146.84071
11.58,0.02,11.76,0.03,57146.90642
11.66,0.02,11.74,0.04,57146.972
11.64,0.02,11.73,0.03,57147.03769
11.66,0.02,11.78,0.03,57147.23455
11.66,0.02,11.75,0.03,57147.30013
11.64,0.02,11.73,0.03,57147.36584
11.67,0.02,11.78,0.04,57147.43142
11.67,0.02,11.79,0.03,57147.5627
11.62,0.02,11.70,0.03,57147.62828
11.69,0.02,11.72,0.03,57147.69399
11.72,0.02,11.65,0.04,57147.82527
11.64,0.02,11.72,0.03,57147.95643
11.59,0.03,11.67,0.03,57147.95656
11.60,0.02,11.67,0.03,57340.35554
11.65,0.02,11.73,0.03,57340.35567
11.62,0.02,11.59,0.03,57340.4867
11.73,0.02,11.58,0.03,57340.48683
