#Data from LCO Program DDT2021B-003
#PI S. Ertel
#Time in MJD
#Colours and uncertainties in Magnitudes
#Filters SDSS gp,rp,ip
Time,mg,ug,mr,ur,mi,ui,mz,uz,g-r,Err g-r,r-i,Err r-i,g-z,Err g-z,r-z,Err r-z
59468.7795455,17.361575042103908,0.007089051079862685,16.286948518989842,0.004561433522209057,15.727330845672126,0.00460375215344655,16.013340327533868,0.0052655369220175885,1.0746265231140661,0.008429787719179816,0.5596176733177156,0.0064808340256402395,1.3482347145700402,0.00883065820253693,0.27360819145597404,0.006966531048855161
59473.3816338,14.784764588115033,0.0049460314286138675,13.875407684913133,0.0031009869018923785,13.550762975909581,0.0025424543836184343,13.524344082906236,0.0024826856011539223,0.9093569032018998,0.005837751849688733,0.324644709003552,0.004010011727973957,1.2604205052087973,0.005534162509993102,0.35106360200689757,0.003972385625777677
#59476.1145956,20.748092722158916,0.283693945325183,16.271376803739535,0.03573679821445195,15.375242302024336,0.01619342081716356,14.814774917448368,0.011024676442296944,4.47671591841938,0.28593596024422735,0.8961345017151991,0.039234495337422175,5.933317804710548,0.28390808037959264,1.4566018862911676,0.03739869298889726
59479.1116623,14.643456101645603,0.009172298819570034,13.769301667493279,0.00448991529753693,13.449701212225962,0.0033121890047799513,13.37461043562272,0.0030573787431242934,0.8741544341523237,0.01021226737872359,0.3196004552673166,0.00557942070312334,1.268845666022882,0.009668434744796808,0.3946912318705582,0.005432025787674836
59479.758347,14.770141260339743,0.00907900017013852,13.841449507894918,0.004447231504488972,13.472503415157771,0.004693907019230371,13.356753455417627,0.004427623756374262,0.9286917524448253,0.010109703860345985,0.36894609273714707,0.006466114069493315,1.4133878049221167,0.010101093812918727,0.4846960524772914,0.006275485653121117
59480.7469245,14.765948210065817,0.005495057845434712,13.859738936548284,0.003311875673640543,13.549075161430538,0.0029120447645202426,13.423032567494088,0.0028619930244476667,0.9062092735175327,0.006415931826502334,0.3106637751177459,0.004410048207017896,1.3429156425717288,0.006195697280908799,0.43670636905419613,0.004377159415607238
59482.0980545,14.659333669553025,0.00779526683281372,13.800036830560458,0.004484240481954444,13.462753995282027,0.004028715081349034,13.359242127791346,0.004009717237108486,0.8592968389925666,0.008993030506718225,0.3372828352784314,0.006028180314712573,1.3000915417616792,0.008766071943369537,0.4407947027691126,0.00601550039660575
59487.3861216,16.30958088149122,0.017899669406097694,14.785686246858631,0.006092869290195247,14.07774374442102,0.004247090943279932,-99.0,-99.0,1.5238946346325903,0.01890823156815555,0.7079425024376107,0.00742703424442723,-99.0,-99.0,-99.0,-99.0
59491.7017594,15.110788369330734,0.005467823819637633,14.01577698372778,0.003444746015219336,13.631486733732517,0.002832443574217477,-99.0,-99.0,1.0950113856029535,0.0064624586986661795,0.3842902499952636,0.00445970982357545,-99.0,-99.0,-99.0,-99.0
59493.0543364,15.147763486433128,0.009885976747132421,14.05542307427874,0.005464894737152425,13.623593788480099,0.003799587743681952,-99.0,-99.0,1.0923404121543872,0.011295911239603433,0.4318292857986421,0.006655970365776457,-99.0,-99.0,-99.0,-99.0
59495.048912,15.686590821822028,0.010727574068521767,14.363288974056417,0.0049835259396445244,13.82833852331651,0.003623429527528067,-99.0,-99.0,1.3233018477656113,0.011828625287273686,0.5349504507399061,0.00616155599926448,-99.0,-99.0,-99.0,-99.0
59497.0433947,15.738577772273754,0.011939427237840238,14.39652368376408,0.005322422114460035,13.859431232338524,0.003844168410109646,-99.0,-99.0,1.3420540885096734,0.013072035034078458,0.537092451425556,0.006565501346415074,-99.0,-99.0,-99.0,-99.0
59499.0380161,15.725321821937479,0.009825980574765173,14.358195534041318,0.004892788193850987,13.84888076764426,0.003630781738337519,-99.0,-99.0,1.367126287896161,0.010976760476823302,0.5093147663970576,0.006092778704444535,-99.0,-99.0,-99.0,-99.0
59503.2913798,15.46386577158847,0.008387546711599242,14.220098826976555,0.0038194856029696274,13.778197635562895,0.002914515128059886,-99.0,-99.0,1.2437669446119148,0.009216257923395565,0.4419011914136597,0.004804463414678292,-99.0,-99.0,-99.0,-99.0
59505.3268958,14.823659914102727,0.004901471038988323,13.882601455832384,0.003014336639829871,13.562916500934094,0.0025066177854647237,-99.0,-99.0,0.9410584582703425,0.005754184887910895,0.31968495489829074,0.003920377290597031,-99.0,-99.0,-99.0,-99.0
#59507.0301895,20.729030410462087,0.19321660791987227,15.82095852196684,0.025856574125823335,14.90923598423309,0.01133735207653583,-99.0,-99.0,4.908071888495247,0.19493901610910486,0.9117225377337501,0.02823292364654302,-99.0,-99.0,-99.0,-99.0
59508.6780208,15.292032846781158,0.012380770866413886,14.194805305204014,0.008243099354758122,13.722817395846342,0.005015032339946201,-99.0,-99.0,1.0972275415771442,0.014873875561502343,0.4719879093576722,0.009648794553887032,-99.0,-99.0,-99.0,-99.0
59510.6779439,15.538771467920194,0.011079906019259464,14.315118820890957,0.0045419112011286554,13.815880567860095,0.0035645509257231874,-99.0,-99.0,1.2236526470292368,0.011974693096466399,0.4992382530308621,0.005773645352895516,-99.0,-99.0,-99.0,-99.0
59513.657205,14.738352542476592,0.005065816070038999,13.825708521990569,0.0030385099752772786,13.538159855564404,0.0025641640894066807,-99.0,-99.0,0.9126440204860238,0.0059072019878555785,0.28754866642616506,0.003975862214320601,-99.0,-99.0,-99.0,-99.0
59515.3019955,14.577774858853315,0.0039006065714561797,13.724548237431705,0.002851145901620573,13.445660594347139,0.002335979129059212,-99.0,-99.0,0.8532266214216104,0.0048315385311114845,0.27888764308456615,0.003685896287706428,-99.0,-99.0,-99.0,-99.0
59516.3161244,14.86908103387865,0.01620432873583372,13.859648692902832,0.009452441494666947,13.516392818751957,0.007233566245103141,-99.0,-99.0,1.0094323409758186,0.0187597686549986,0.34325587415087533,0.01190265226041646,-99.0,-99.0,-99.0,-99.0
59518.0049931,14.532237168674508,0.004809372048294482,13.750654083543077,0.0035285311389255574,13.486136753751786,0.0032287240088089333,-99.0,-99.0,0.7815830851314303,0.005964946898110959,0.26451732979129083,0.0047828015559321,-99.0,-99.0,-99.0,-99.0
59520.3232344,14.699043066619923,0.003849776480263151,13.785767988830537,0.0029738136852911707,13.498514324352298,0.0024639376590989423,-99.0,-99.0,0.9132750777893861,0.004864601400198416,0.2872536644782393,0.0038619369004103407,-99.0,-99.0,-99.0,-99.0
59521.9750136,15.437154962079855,0.008006667373291847,14.214044453262751,0.004276427289223791,13.789782484180297,0.0033460990611584684,-99.0,-99.0,1.2231105088171041,0.00907714452823982,0.4242619690824547,0.005429936398071668,-99.0,-99.0,-99.0,-99.0
